variable,relative_importance,scaled_importance,percentage
bio5,89.7310791015625,1,0.360315812472609
bio12,43.3590774536133,0.48321136765264,0.174108696531762
NDVI_2024,28.6243648529053,0.319001678565647,0.114941348992507
bio7,17.5481033325195,0.195563270922638,0.0704645388522912
bio4,10.8485956192017,0.120901205332911,0.0435626160284454
EVI_2024,10.1608943939209,0.113237180424636,0.04080114666681
Slope,7.62529850006104,0.0849794583594644,0.0306194425822726
Cos_aspect,6.75590705871582,0.0752906030592713,0.027128394812854
bio3,5.96674251556396,0.0664958292634649,0.0239594987471052
ForestCover,4.84399271011353,0.0539834442939311,0.0194510885908376
bio15,4.20001888275146,0.0468067354678489,0.0168652069192885
bio6,3.19410490989685,0.0355964170037629,0.0128259519138246
bio17,3.1635594367981,0.0352560057058648,0.0127032963404476
bio19,3.01924514770508,0.0336477079952168,0.0121238012441376
bio9,2.47233033180237,0.0275526646570699,0.00992766075169749
bio8,1.84556579589844,0.0205677432432249,0.00741088311741058
bio11,1.73720335960388,0.0193601077463653,0.00697575295218888
LandCover,1.35143685340881,0.0150609673586917,0.00542670469047043
Elevation,1.33595728874207,0.0148884567322539,0.00536454638394535
bio2,0.776151716709137,0.0086497535132799,0.00311664296482525
bio14,0.474900990724564,0.00529249169272828,0.00190696844426992
