variable,relative_importance,scaled_importance,percentage
bio5,2933.23608398438,1,0.490149397774111
bio19,566.924133300781,0.193275998613346,0.0947341143245216
bio3,343.443115234375,0.117086761992869,0.0573900058781256
Slope,216.545257568359,0.0738246944222144,0.0361851295119062
bio4,201.231430053711,0.0686038983198268,0.0336261594464194
Elevation,199.728591918945,0.0680915501515456,0.0333750323002858
bio14,173.73486328125,0.0592297579556762,0.029031430192281
bio12,171.175277709961,0.0583571430354983,0.0286037185146671
bio2,148.781448364258,0.0507226299228393,0.0248616665101988
EVI_2024,134.914367675781,0.0459950593177347,0.0225444506251722
bio7,121.14037322998,0.0412992237111132,0.0202427896305404
bio9,99.9133071899414,0.0340624840037505,0.0166957060211286
bio8,99.74462890625,0.0340049781368984,0.0166675195551225
Cos_aspect,98.9449005126953,0.0337323344182692,0.0165338834006296
bio17,98.6198501586914,0.0336215181236727,0.0164795668605695
bio15,89.3934020996094,0.0304760338207013,0.0149378096237602
ForestCover,89.1330947875977,0.0303872897494576,0.0148943117706841
bio11,70.3330307006836,0.0239779645029957,0.0117527848609924
NDVI_2024,62.9394607543945,0.0214573457274876,0.0105173050861589
bio6,36.6495933532715,0.0124945937878578,0.00612421762055064
LandCover,27.8452835083008,0.00949302501095548,0.0046530004921744
