Elephant,Method,Threshold,Area_Before_km2,Area_After_km2,Pct_Change,Jaccard_Temporal,Dice_Temporal
E3,H2O,0.25,8.31206090194747e-9,8.329967574006928e-9,0.21542999107794902,0.5312811160917483,0.6939040918204806
E3,H2O,0.5,2.387825264711185e-9,5.553311716004618e-9,132.5677593781683,0.020496669615255786,0.04016998825284432
E3,H2O,0.75,2.387825264711185e-9,5.086818296260028e-10,-78.69685704629943,0.007336061203069134,0.014565270688925045
E3,SSDM,0.25,5.762486500345878e-9,5.761025884012952e-9,-0.0253469805584493,0.5216370206114053,0.6856260902508898
E3,SSDM,0.5,3.841654976996086e-9,3.841654976996086e-9,0,0.14749234095581978,0.25706897674447915
E3,SSDM,0.75,1.9208315233497916e-9,1.9200568318140962e-9,-0.04033105070788978,0.04135999649936551,0.07943457908581321
E4,H2O,0.25,8.329967574006928e-9,8.329652855570552e-9,-0.003778147196614698,0.5283887570275981,0.6914324050056552
E4,H2O,0.5,5.55320680985916e-9,5.553311716004618e-9,0.0018891092849671297,0.4455124535911399,0.6164076310575352
E4,H2O,0.75,1.0865210182198154e-9,5.518224645200414e-10,-49.21198437337533,0.004532230292714786,0.009023563716604933
E4,SSDM,0.25,5.762486500345878e-9,5.762486500345878e-9,0,0.5047977890237207,0.6709177707540657
E4,SSDM,0.5,3.841654976996086e-9,3.841654976996086e-9,0,0.07663394572492471,0.14235840515566348
E4,SSDM,0.75,1.9208315233497916e-9,1.9208315233497916e-9,0,2.100579970129753e-6,4.2011511154056215e-06
E5,H2O,0.25,8.329967574006928e-9,8.11654005592284e-9,-2.5621650527196915,0.7760449663406026,0.8739023854104107
E5,H2O,0.5,5.553311716004618e-9,5.43409798624599e-9,-2.146714174445767,0.7593253496521568,0.8632006010739128
E5,H2O,0.75,3.2511221448017646e-10,1.2408783067071271e-10,-61.83230738681493,0.09968588869791975,0.18129884128267312
E5,SSDM,0.25,5.762486500345878e-9,5.762486500345878e-9,0,0.742855852788527,0.8524581669791861
E5,SSDM,0.5,3.841654976996086e-9,3.841654976996086e-9,0,0.8093672560317436,0.894641210438202
E5,SSDM,0.75,1.9208315233497916e-9,1.9208315233497916e-9,0,0.5783122144642703,0.7328235936646641
